ISO,国,法令・規範名,制定・発出年,概要・改正と適用上の留意,計画単位,計画,所管・関係機関,法令出典,機関出典
HND,ホンジュラス,Ley de Municipalidades（Decreto 134-90）,1990,自治体の自治・権限・地方開発の基本法。PDM-OT規範と併読。,municipio,PDM-OT,SGJD（自治体開発支援）／SEFIN-DGP（2026暫定計画調整）。旧SPEは廃止,https://www.tsc.gob.hn/web/leyes/Ley_de_Municipalidades.pdf,https://www.sefin.gob.hn/wp-content/uploads/2026/05/Presentacion-Lineamientos-para-la-Ejecucion-y-Evaluacion-Presupuestaria_2026.pdf
HND,ホンジュラス,Ley de Visión de País y Plan de Nación（286-2009）,2009,国家の長期・中期計画の枠組み。2010公布、182-2010等の改正があり、現行運用は再確認。,municipio,PDM-OT,SGJD（自治体開発支援）／SEFIN-DGP（2026暫定計画調整）。旧SPEは廃止,https://tsc.gob.hn/biblioteca/index.php/leyes/128-ley-para-establecimiento-de-una-vision-de-pais-y-la-adpcion-de-un-plan-de-nacion-para-honduras,https://www.sefin.gob.hn/wp-content/uploads/2026/05/Presentacion-Lineamientos-para-la-Ejecucion-y-Evaluacion-Presupuestaria_2026.pdf
MEX,メキシコ,Ley de Planeación,1983,連邦の計画制度。自治体PDMの義務・期限は州計画法・自治体法を追加照合する。,municipio／CDMX alcaldía（州・特別制度別）,州法に基づくPDM／都市開発計画等,SHCP（国家計画）／SEDATU（土地・都市）／州の計画機関・自治体,https://www.diputados.gob.mx/LeyesBiblio/pdf_mov/Ley_de_Planeacion.pdf,https://situ.sedatu.gob.mx/
MEX,メキシコ,Ley de Planeación del Estado de México y Municipios（州の例）,2001,一州の地方計画制度。全国の自治体へ一律転用しない。対象州の法令へ差し替える。,municipio／CDMX alcaldía（州・特別制度別）,州法に基づくPDM／都市開発計画等,SHCP（国家計画）／SEDATU（土地・都市）／州の計画機関・自治体,https://legislacion.edomex.gob.mx/sites/legislacion.edomex.gob.mx/files/files/pdf/ley/vig/leyvig087.pdf,https://situ.sedatu.gob.mx/
NIC,ニカラグア,Ley 40 de Municipios,1988,自治体の開発計画等。1997・2012等の改正を併読。掲載リンクはLey 792による改正。,municipio,Plan de Desarrollo Municipal,大統領府・MHCP（計画予算投資）／自治体。地方支援の現行分掌は追加確認,https://legislacion.asamblea.gob.ni/SILEG/Iniciativas.nsf/c9a0faf9d8c5e28f062572c70052cde2/7ebe8ba4e242fa7b062579eb0064e3b6/%24FILE/Ley%20No.%20792%20reforma%20Ley%20de%20municipios.pdf,https://www.hacienda.gob.ni/politica-institucional/
PAN,パナマ,Ley 37 de Descentralización,2009,地方分権と地区計画。Ley 66（2015）等の改正を含めてPED・参加・予算へ接続。,distrito（municipio）。comarca等の特別制度は別確認,Plan Estratégico Distrital（PED）,MEF（地域計画）／Autoridad Nacional de Descentralización（AND）／自治体,https://www.descentralizacion.gob.pa/page/ley-37-2009-descentralizacion,https://www.mef.gob.pa/2025/10/panama-presenta-el-presupuesto-mas-alto-de-su-historia-para-2026/
PRY,パラグアイ,Ley 3966 Orgánica Municipal,2010,art.224–226。持続可能な開発計画PDSと都市・土地利用計画POUTを区別して策定。,municipio／distrito,PDS／POUT,Ministerio de Economía y Finanzas（MEF）・Viceministerio de Economía y Planificación,https://www.bacn.gov.py/leyes-paraguayas/969/ley-n-3966-organica-municipall,https://www.mef.gov.py/es/institucional/organigrama-y-funciones
PRY,パラグアイ,Ley 7158（MEF設置）,2023,財務省・公務機関・旧STPをMEFへ統合。古いSTP宛の規定と現在の所管を区別する。,municipio／distrito,PDS／POUT,Ministerio de Economía y Finanzas（MEF）・Viceministerio de Economía y Planificación,https://www.bacn.gov.py/leyes-paraguayas/11893/ley-n-7158-crea-el-ministerio-de-economia-,https://www.mef.gov.py/es/institucional/organigrama-y-funciones
PER,ペルー,Ley 27972 Orgánica de Municipalidades,2003,art.97等。地区・県自治体の協議型開発計画を接続。地域政府のPDRCは別の計画主体。,municipalidad provincial／distrital（地域政府はPDRC）,PDLC,CEPLAN（PCMに属する国家計画機関）／地方政府,https://www.gob.pe/96430-el-plan-de-desarrollo-municipal-concertado,https://www.gob.pe/ceplan
PER,ペルー,Decreto Legislativo 1088（SINAPLAN・CEPLAN）,2008,国家戦略計画体系とCEPLANを規定。自治体のPDLCは自治体法・最新手引きと併読。,municipalidad provincial／distrital（地域政府はPDRC）,PDLC,CEPLAN（PCMに属する国家計画機関）／地方政府,https://www.gob.pe/institucion/ceplan/campa%C3%B1as/6243-conoce-las-normas-del-sinaplan,https://www.gob.pe/ceplan
DOM,ドミニカ共和国,Ley 176-07 del Distrito Nacional y los Municipios,2007,art.122等の自治体開発計画・参加。PMDと県・地域の基礎資料を別の制度・主体として扱う。,municipio（distrito municipalは権限・適用を別確認）,PMD／上位の地域・県計画を区別,Ministerio de Hacienda y Economía（MHE、2025統合）／地方政府,https://ayuntamientocomendador.gob.do/transparencia/wp-content/uploads/2026/01/PDM-Comendador-2025-2029.pdf,https://www.presidencia.gob.do/noticias/presidente-abinader-promulga-ley-que-dispone-fusion-del-ministerio-de-hacienda-y-el
DOM,ドミニカ共和国,Ley 498-06 de Planificación e Inversión Pública,2006,国家計画・公共投資体系。地方計画と上位計画・事業投資の整合確認に使う。,municipio（distrito municipalは権限・適用を別確認）,PMD／上位の地域・県計画を区別,Ministerio de Hacienda y Economía（MHE、2025統合）／地方政府,https://www.hacienda.gob.do/wp-content/uploads/2023/12/PNPSP-Plan-Nacional-Plurianual-del-Sector-Pu%CC%81blico_compressed.pdf,https://www.presidencia.gob.do/noticias/presidente-abinader-promulga-ley-que-dispone-fusion-del-ministerio-de-hacienda-y-el
DOM,ドミニカ共和国,Ley 1-12 Estrategia Nacional de Desarrollo 2030,2012,長期国家開発戦略。地方の課題・目標・事業との対応根拠に使う。,municipio（distrito municipalは権限・適用を別確認）,PMD／上位の地域・県計画を区別,Ministerio de Hacienda y Economía（MHE、2025統合）／地方政府,https://transparencia.hacienda.gob.do/wp-content/uploads/2023/04/1-Ley-No-1-12-Ley-de-la-Estrategia-Nacional-de-Desarrollo-2030_.pdf,https://www.presidencia.gob.do/noticias/presidente-abinader-promulga-ley-que-dispone-fusion-del-ministerio-de-hacienda-y-el
DOM,ドミニカ共和国,Ley 45-25（省庁統合）,2025,HaciendaとMEPyDを統合しMHEを設置。旧組織名と現在の提出・技術支援先を区別する。,municipio（distrito municipalは権限・適用を別確認）,PMD／上位の地域・県計画を区別,Ministerio de Hacienda y Economía（MHE、2025統合）／地方政府,https://www.presidencia.gob.do/noticias/presidente-abinader-promulga-ley-que-dispone-fusion-del-ministerio-de-hacienda-y-el,https://www.presidencia.gob.do/noticias/presidente-abinader-promulga-ley-que-dispone-fusion-del-ministerio-de-hacienda-y-el
URY,ウルグアイ,Ley 19.272 Descentralización y Participación Ciudadana,2014,自治体の機能と計画・参加の枠組み。2026のOPP実務でPQM・POA・管理合意を確認。,municipio（管理・開発）＋departamento（土地利用）,PQM／POA、部門政府の土地利用計画,Oficina de Planeamiento y Presupuesto（OPP）／土地利用は部門政府・MVOT,https://www.impo.com.uy/bases/leyes/19272-2014,https://www.opp.gub.uy/es/noticias/ciclo-de-apoyo-la-planificacion-figm-2026
URY,ウルグアイ,Ley 18.308 Ordenamiento Territorial y Desarrollo Sostenible,2008,土地利用計画の重要な権限はdepartamento側。Plan Localという名称だけでmunicipio所管と決めない。,municipio（管理・開発）＋departamento（土地利用）,PQM／POA、部門政府の土地利用計画,Oficina de Planeamiento y Presupuesto（OPP）／土地利用は部門政府・MVOT,https://www.impo.com.uy/bases/leyes/18308-2008,https://www.opp.gub.uy/es/noticias/ciclo-de-apoyo-la-planificacion-figm-2026
VEN,ベネズエラ,Ley Orgánica de Planificación Pública y Popular,2010,国・地方・コミュニティの計画体系。所管省は2014改正法を掲載しており、2010本文のみで実装しない。,municipio（州・コミューン計画と区別）,Plan Municipal de Desarrollo,Ministerio del Poder Popular de Planificación（MPPP）／地方政府,https://mppp.gob.ve/marco-legal/leyes-y-reglamentos/,https://mppp.gob.ve/
VEN,ベネズエラ,Ley Orgánica de Planificación Pública y Popular（改正）,2014,MPPPがG.O.E.6.148（2014-11-18）を掲載。案件時に条文・追加改正を照合。,municipio（州・コミューン計画と区別）,Plan Municipal de Desarrollo,Ministerio del Poder Popular de Planificación（MPPP）／地方政府,https://mppp.gob.ve/marco-legal/leyes-y-reglamentos/,https://mppp.gob.ve/
