ISO,国,統計年,テーマ,確認項目,確認段階,確認した粒度,留意点,出典ID,URL
CHL,チリ,2024,教育,教育・就学,設問の公式説明確認,当該項目の公表粒度未点検,,CHL_Q,https://censo2024.ine.gob.cl/ine-habilito-punto-censo-en-el-instituto-teleton-de-santiago/
CHL,チリ,2024,就業・生計,就業・労働参加,設問の公式説明確認,当該項目の公表粒度未点検,,CHL_Q,https://censo2024.ine.gob.cl/ine-habilito-punto-censo-en-el-instituto-teleton-de-santiago/
CHL,チリ,2024,包摂・健康の一部,日常生活の機能上の困難,設問の公式説明確認,当該項目の公表粒度未点検,,CHL_Q,https://censo2024.ine.gob.cl/ine-habilito-punto-censo-en-el-instituto-teleton-de-santiago/
CHL,チリ,2024,移住,未確認：この台帳では移住の詳細表を未点検,未確認,当該項目の公表粒度未確認,,CHL_C,https://censo2024.ine.gob.cl/resultados/
COL,コロンビア,2018,人口・世帯,性、5歳階級、世帯内続柄,変数辞書確認,municipio（個別変数の公開・秘匿条件は抽出時に確認）,,COL_P,https://microdatos.dane.gov.co/index.php/catalog/643/data-dictionary/F11?file_name=PERSONAS
COL,コロンビア,2018,住宅,種類・壁・床、居住状態,変数辞書確認,municipio（個別変数の公開・秘匿条件は抽出時に確認）,,COL_H,https://microdatos.dane.gov.co/index.php/catalog/643/data-dictionary/F8?file_name=VIVENDAS
COL,コロンビア,2018,水,acueductoサービス,変数辞書確認,municipio（個別変数の公開・秘匿条件は抽出時に確認）,,COL_H,https://microdatos.dane.gov.co/index.php/catalog/643/data-dictionary/F8?file_name=VIVENDAS
COL,コロンビア,2018,衛生,下水道、便所,変数辞書確認,municipio（個別変数の公開・秘匿条件は抽出時に確認）,,COL_H,https://microdatos.dane.gov.co/index.php/catalog/643/data-dictionary/F8?file_name=VIVENDAS
COL,コロンビア,2018,家庭エネルギー,電気、都市ガス,変数辞書確認,municipio（個別変数の公開・秘匿条件は抽出時に確認）,,COL_H,https://microdatos.dane.gov.co/index.php/catalog/643/data-dictionary/F8?file_name=VIVENDAS
COL,コロンビア,2018,デジタル接続,住宅の固定／モバイルネット,変数辞書確認,municipio（個別変数の公開・秘匿条件は抽出時に確認）,,COL_H,https://microdatos.dane.gov.co/index.php/catalog/643/data-dictionary/F8?file_name=VIVENDAS
COL,コロンビア,2018,教育,識字、就学、学歴,変数辞書確認,municipio（個別変数の公開・秘匿条件は抽出時に確認）,,COL_P,https://microdatos.dane.gov.co/index.php/catalog/643/data-dictionary/F11?file_name=PERSONAS
COL,コロンビア,2018,就業・生計,前週の活動状態。産業・職業詳細の収録は未確認,変数辞書確認,municipio（個別変数の公開・秘匿条件は抽出時に確認）,,COL_P,https://microdatos.dane.gov.co/index.php/catalog/643/data-dictionary/F11?file_name=PERSONAS
COL,コロンビア,2018,包摂・健康の一部,機能上の困難、民族・言語、最近の健康問題・受診,変数辞書確認,municipio（個別変数の公開・秘匿条件は抽出時に確認）,,COL_P,https://microdatos.dane.gov.co/index.php/catalog/643/data-dictionary/F11?file_name=PERSONAS
COL,コロンビア,2018,移住,出生地、1年前・5年前の居住地,変数辞書確認,municipio（個別変数の公開・秘匿条件は抽出時に確認）,,COL_P,https://microdatos.dane.gov.co/index.php/catalog/643/data-dictionary/F11?file_name=PERSONAS
CRI,コスタリカ,2022,人口・世帯,人口性比・年齢依存、世帯類型,方法・項目一覧確認,provincia／cantón／distritoの推計指標,,CRI_C,https://admin.inec.cr/sites/default/files/2024-11/meSocialMetodologiaEstimacionesSocialesVivienda2022.pdf
CRI,コスタリカ,2022,住宅,住宅状態、所有・賃貸、居住者数,方法・項目一覧確認,provincia／cantón／distritoの推計指標,,CRI_C,https://admin.inec.cr/sites/default/files/2024-11/meSocialMetodologiaEstimacionesSocialesVivienda2022.pdf
CRI,コスタリカ,2022,水,屋内配管＋水道由来,方法・項目一覧確認,provincia／cantón／distritoの推計指標,,CRI_C,https://admin.inec.cr/sites/default/files/2024-11/meSocialMetodologiaEstimacionesSocialesVivienda2022.pdf
CRI,コスタリカ,2022,衛生,下水道または浄化槽,方法・項目一覧確認,provincia／cantón／distritoの推計指標,,CRI_C,https://admin.inec.cr/sites/default/files/2024-11/meSocialMetodologiaEstimacionesSocialesVivienda2022.pdf
CRI,コスタリカ,2022,家庭エネルギー,電気,方法・項目一覧確認,provincia／cantón／distritoの推計指標,,CRI_C,https://admin.inec.cr/sites/default/files/2024-11/meSocialMetodologiaEstimacionesSocialesVivienda2022.pdf
CRI,コスタリカ,2022,デジタル接続,住宅ネット、PC、携帯,方法・項目一覧確認,provincia／cantón／distritoの推計指標,,CRI_C,https://admin.inec.cr/sites/default/files/2024-11/meSocialMetodologiaEstimacionesSocialesVivienda2022.pdf
CRI,コスタリカ,2022,教育,識字、教育年数、就学、学歴、学年遅滞,方法・項目一覧確認,provincia／cantón／distritoの推計指標,,CRI_C,https://admin.inec.cr/sites/default/files/2024-11/meSocialMetodologiaEstimacionesSocialesVivienda2022.pdf
CRI,コスタリカ,2022,就業・生計,就業・失業・非労働力、3産業部門,方法・項目一覧確認,provincia／cantón／distritoの推計指標,,CRI_C,https://admin.inec.cr/sites/default/files/2024-11/meSocialMetodologiaEstimacionesSocialesVivienda2022.pdf
CRI,コスタリカ,2022,包摂・健康の一部,医療保険加入。障害指標は44指標内で未確認,方法・項目一覧確認,provincia／cantón／distritoの推計指標,,CRI_C,https://admin.inec.cr/sites/default/files/2024-11/meSocialMetodologiaEstimacionesSocialesVivienda2022.pdf
CRI,コスタリカ,2022,移住,外国人比率,方法・項目一覧確認,provincia／cantón／distritoの推計指標,,CRI_C,https://admin.inec.cr/sites/default/files/2024-11/meSocialMetodologiaEstimacionesSocialesVivienda2022.pdf
CUB,キューバ,2012,人口・世帯,性・年齢、続柄,調査票確認,公表粒度未確認（票ではmunicipioを識別）,,CUB_C,https://celade.cepal.org/censosinfo/Boletas/CU_BDef_2012.pdf
CUB,キューバ,2012,住宅,種類・材料・状態・室数・保有形態,調査票確認,公表粒度未確認（票ではmunicipioを識別）,,CUB_C,https://celade.cepal.org/censosinfo/Boletas/CU_BDef_2012.pdf
CUB,キューバ,2012,水,水源、供給頻度、貯水,調査票確認,公表粒度未確認（票ではmunicipioを識別）,,CUB_C,https://celade.cepal.org/censosinfo/Boletas/CU_BDef_2012.pdf
CUB,キューバ,2012,衛生,便所、排水、共同利用,調査票確認,公表粒度未確認（票ではmunicipioを識別）,,CUB_C,https://celade.cepal.org/censosinfo/Boletas/CU_BDef_2012.pdf
CUB,キューバ,2012,家庭エネルギー,照明電源、調理燃料,調査票確認,公表粒度未確認（票ではmunicipioを識別）,,CUB_C,https://celade.cepal.org/censosinfo/Boletas/CU_BDef_2012.pdf
CUB,キューバ,2012,デジタル接続,PC・電話保有。確認した住宅設備票にネット接続設問なし,調査票確認,公表粒度未確認（票ではmunicipioを識別）,電話やPC保有をインターネット普及率へ置換しない,CUB_C,https://celade.cepal.org/censosinfo/Boletas/CU_BDef_2012.pdf
CUB,キューバ,2012,教育,識字・就学・学歴・資格,調査票確認,公表粒度未確認（票ではmunicipioを識別）,,CUB_C,https://celade.cepal.org/censosinfo/Boletas/CU_BDef_2012.pdf
CUB,キューバ,2012,就業・生計,前週活動、職業・産業、就業地,調査票確認,公表粒度未確認（票ではmunicipioを識別）,,CUB_C,https://celade.cepal.org/censosinfo/Boletas/CU_BDef_2012.pdf
CUB,キューバ,2012,包摂・健康の一部,障害・疾患型の設問、肌の色。機能困難型との比較注意,調査票確認,公表粒度未確認（票ではmunicipioを識別）,,CUB_C,https://celade.cepal.org/censosinfo/Boletas/CU_BDef_2012.pdf
CUB,キューバ,2012,移住,出生地、従前居住地・居住期間,調査票確認,公表粒度未確認（票ではmunicipioを識別）,,CUB_C,https://celade.cepal.org/censosinfo/Boletas/CU_BDef_2012.pdf
ECU,エクアドル,2022,人口・世帯,人口構造、世帯構成,公表目録確認,テーマ別カタログ確認。水・衛生・電気はparroquia公表例あり,,ECU_C,https://www.censoecuador.gob.ec/resultados-censo/
ECU,エクアドル,2022,住宅,住宅一般、保有・居住条件,公表目録確認,テーマ別カタログ確認。水・衛生・電気はparroquia公表例あり,,ECU_C,https://www.censoecuador.gob.ec/resultados-censo/
ECU,エクアドル,2022,水,水源・供給主体,公表目録確認,テーマ別カタログ確認。水・衛生・電気はparroquia公表例あり,,ECU_C,https://www.censoecuador.gob.ec/resultados-censo/
ECU,エクアドル,2022,衛生,下水・衛生設備,公表目録確認,テーマ別カタログ確認。水・衛生・電気はparroquia公表例あり,,ECU_C,https://www.censoecuador.gob.ec/resultados-censo/
ECU,エクアドル,2022,家庭エネルギー,電気、調理用エネルギー,公表目録確認,テーマ別カタログ確認。水・衛生・電気はparroquia公表例あり,,ECU_C,https://www.censoecuador.gob.ec/resultados-censo/
ECU,エクアドル,2022,デジタル接続,世帯ICT,公表目録確認,テーマ別カタログ確認。水・衛生・電気はparroquia公表例あり,,ECU_C,https://www.censoecuador.gob.ec/resultados-censo/
ECU,エクアドル,2022,教育,識字、就学、学歴,公表目録確認,テーマ別カタログ確認。水・衛生・電気はparroquia公表例あり,,ECU_C,https://www.censoecuador.gob.ec/resultados-censo/
ECU,エクアドル,2022,就業・生計,経済活動,公表目録確認,テーマ別カタログ確認。水・衛生・電気はparroquia公表例あり,,ECU_C,https://www.censoecuador.gob.ec/resultados-censo/
ECU,エクアドル,2022,包摂・健康の一部,機能上の困難、民族、ジェンダー、NBI,公表目録確認,テーマ別カタログ確認。水・衛生・電気はparroquia公表例あり,,ECU_C,https://www.censoecuador.gob.ec/resultados-censo/
ECU,エクアドル,2022,移住,国内外移住,公表目録確認,テーマ別カタログ確認。水・衛生・電気はparroquia公表例あり,,ECU_C,https://www.censoecuador.gob.ec/resultados-censo/
SLV,エルサルバドル,2024,人口・世帯,人口、性・年齢、出生・死亡,報告の章・表目録確認,項目別。人口・教育・活動・ICTはdistrito章あり。全項目の地区表は未点検,,SLV_C,https://censo2024.bcr.gob.sv/wp-content/uploads/tablas-geoportal/2025/Informe%20_VII_Censo_de_Poblacion_y_VI_de_Vivienda_marzo_2025.pdf
SLV,エルサルバドル,2024,住宅,住宅種類・材料・居住状態,報告の章・表目録確認,項目別。人口・教育・活動・ICTはdistrito章あり。全項目の地区表は未点検,,SLV_C,https://censo2024.bcr.gob.sv/wp-content/uploads/tablas-geoportal/2025/Informe%20_VII_Censo_de_Poblacion_y_VI_de_Vivienda_marzo_2025.pdf
SLV,エルサルバドル,2024,水,給水,報告の章・表目録確認,項目別。人口・教育・活動・ICTはdistrito章あり。全項目の地区表は未点検,,SLV_C,https://censo2024.bcr.gob.sv/wp-content/uploads/tablas-geoportal/2025/Informe%20_VII_Censo_de_Poblacion_y_VI_de_Vivienda_marzo_2025.pdf
SLV,エルサルバドル,2024,衛生,衛生設備,報告の章・表目録確認,項目別。人口・教育・活動・ICTはdistrito章あり。全項目の地区表は未点検,,SLV_C,https://censo2024.bcr.gob.sv/wp-content/uploads/tablas-geoportal/2025/Informe%20_VII_Censo_de_Poblacion_y_VI_de_Vivienda_marzo_2025.pdf
SLV,エルサルバドル,2024,家庭エネルギー,電気,報告の章・表目録確認,項目別。人口・教育・活動・ICTはdistrito章あり。全項目の地区表は未点検,,SLV_C,https://censo2024.bcr.gob.sv/wp-content/uploads/tablas-geoportal/2025/Informe%20_VII_Censo_de_Poblacion_y_VI_de_Vivienda_marzo_2025.pdf
SLV,エルサルバドル,2024,デジタル接続,個人のネット・ICT利用,報告の章・表目録確認,項目別。人口・教育・活動・ICTはdistrito章あり。全項目の地区表は未点検,,SLV_C,https://censo2024.bcr.gob.sv/wp-content/uploads/tablas-geoportal/2025/Informe%20_VII_Censo_de_Poblacion_y_VI_de_Vivienda_marzo_2025.pdf
SLV,エルサルバドル,2024,教育,識字・学歴,報告の章・表目録確認,項目別。人口・教育・活動・ICTはdistrito章あり。全項目の地区表は未点検,,SLV_C,https://censo2024.bcr.gob.sv/wp-content/uploads/tablas-geoportal/2025/Informe%20_VII_Censo_de_Poblacion_y_VI_de_Vivienda_marzo_2025.pdf
SLV,エルサルバドル,2024,就業・生計,経済活動、就業状態・時間・部門,報告の章・表目録確認,項目別。人口・教育・活動・ICTはdistrito章あり。全項目の地区表は未点検,,SLV_C,https://censo2024.bcr.gob.sv/wp-content/uploads/tablas-geoportal/2025/Informe%20_VII_Censo_de_Poblacion_y_VI_de_Vivienda_marzo_2025.pdf
SLV,エルサルバドル,2024,包摂・健康の一部,機能上の困難、先住民・アフロ系,報告の章・表目録確認,項目別。人口・教育・活動・ICTはdistrito章あり。全項目の地区表は未点検,,SLV_C,https://censo2024.bcr.gob.sv/wp-content/uploads/tablas-geoportal/2025/Informe%20_VII_Censo_de_Poblacion_y_VI_de_Vivienda_marzo_2025.pdf
SLV,エルサルバドル,2024,移住,国内移住、国外移住,報告の章・表目録確認,項目別。人口・教育・活動・ICTはdistrito章あり。全項目の地区表は未点検,,SLV_C,https://censo2024.bcr.gob.sv/wp-content/uploads/tablas-geoportal/2025/Informe%20_VII_Censo_de_Poblacion_y_VI_de_Vivienda_marzo_2025.pdf
GTM,グアテマラ,2018,人口・世帯,性・5歳階級、続柄、都市農村,公表目録確認,municipio,,GTM_C,https://censo2018.ine.gob.gt/explorador
GTM,グアテマラ,2018,住宅,居住条件、世帯設備,公表目録確認,municipio,,GTM_C,https://censo2018.ine.gob.gt/explorador
GTM,グアテマラ,2018,水,水源・給水,公表目録確認,municipio,,GTM_C,https://censo2018.ine.gob.gt/explorador
GTM,グアテマラ,2018,衛生,便所・排水,公表目録確認,municipio,,GTM_C,https://censo2018.ine.gob.gt/explorador
GTM,グアテマラ,2018,家庭エネルギー,照明、調理燃料,公表目録確認,municipio,,GTM_C,https://censo2018.ine.gob.gt/explorador
GTM,グアテマラ,2018,デジタル接続,個人の携帯・PC・ネット7歳以上／世帯ネット,公表目録確認,municipio,,GTM_C,https://censo2018.ine.gob.gt/explorador
GTM,グアテマラ,2018,教育,識字・就学・学歴、不就学理由,公表目録確認,municipio,,GTM_C,https://censo2018.ine.gob.gt/explorador
GTM,グアテマラ,2018,就業・生計,未確認：この台帳では就業詳細表を未点検,未確認,当該項目の公表粒度未確認,,GTM_C,https://censo2018.ine.gob.gt/explorador
GTM,グアテマラ,2018,包摂・健康の一部,機能上の困難4歳以上、pueblos等,公表目録確認,municipio,,GTM_C,https://censo2018.ine.gob.gt/explorador
GTM,グアテマラ,2018,移住,出生地、2013年の居住地,公表目録確認,municipio,,GTM_C,https://censo2018.ine.gob.gt/explorador
HTI,ハイチ,2003,人口・世帯,性・年齢別人口,公表目録確認,主に全国表目録。人口・就業のcommune表は個別確認,,HTI_C,https://ihsi.gouv.ht/recensement/autres_resultat_rgph_2003
HTI,ハイチ,2003,住宅,建物材料、室数、保有形態,公表目録確認,主に全国表目録。人口・就業のcommune表は個別確認,,HTI_C,https://ihsi.gouv.ht/recensement/autres_resultat_rgph_2003
HTI,ハイチ,2003,水,配水接続、水源・利用,公表目録確認,主に全国表目録。人口・就業のcommune表は個別確認,,HTI_C,https://ihsi.gouv.ht/recensement/autres_resultat_rgph_2003
HTI,ハイチ,2003,衛生,便所種類,公表目録確認,主に全国表目録。人口・就業のcommune表は個別確認,,HTI_C,https://ihsi.gouv.ht/recensement/autres_resultat_rgph_2003
HTI,ハイチ,2003,家庭エネルギー,照明、調理燃料,公表目録確認,主に全国表目録。人口・就業のcommune表は個別確認,,HTI_C,https://ihsi.gouv.ht/recensement/autres_resultat_rgph_2003
HTI,ハイチ,2003,デジタル接続,電話・PC等。ネット接続は今回の表目録で未確認,公表目録確認,主に全国表目録。人口・就業のcommune表は個別確認,,HTI_C,https://ihsi.gouv.ht/recensement/autres_resultat_rgph_2003
HTI,ハイチ,2003,教育,就学・学歴・識字,公表目録確認,主に全国表目録。人口・就業のcommune表は個別確認,,HTI_C,https://ihsi.gouv.ht/recensement/autres_resultat_rgph_2003
HTI,ハイチ,2003,就業・生計,就業、産業・職業・地位,公表目録確認,主に全国表目録。人口・就業のcommune表は個別確認,,HTI_C,https://ihsi.gouv.ht/recensement/autres_resultat_rgph_2003
HTI,ハイチ,2003,包摂・健康の一部,未確認：この台帳では障害・医療保障表を未点検,未確認,当該項目の公表粒度未確認,,HTI_C,https://ihsi.gouv.ht/recensement/autres_resultat_rgph_2003
HTI,ハイチ,2003,移住,未確認：この台帳では移住の詳細表を未点検,未確認,当該項目の公表粒度未確認,,HTI_C,https://ihsi.gouv.ht/recensement/autres_resultat_rgph_2003
HND,ホンジュラス,2013,人口・世帯,性・年齢、続柄,調査票確認,municipioの報告目録は確認。項目別表・下位粒度は追加確認,,HND_Q,https://celade.cepal.org/censosinfo/Boletas/HD_Bdef_2013.pdf
HND,ホンジュラス,2013,住宅,種類・材料、室数、保有形態,調査票確認,municipioの報告目録は確認。項目別表・下位粒度は追加確認,,HND_Q,https://celade.cepal.org/censosinfo/Boletas/HD_Bdef_2013.pdf
HND,ホンジュラス,2013,水,水源、配管位置,調査票確認,municipioの報告目録は確認。項目別表・下位粒度は追加確認,,HND_Q,https://celade.cepal.org/censosinfo/Boletas/HD_Bdef_2013.pdf
HND,ホンジュラス,2013,衛生,便所・排水、共同利用,調査票確認,municipioの報告目録は確認。項目別表・下位粒度は追加確認,,HND_Q,https://celade.cepal.org/censosinfo/Boletas/HD_Bdef_2013.pdf
HND,ホンジュラス,2013,家庭エネルギー,電源、調理燃料,調査票確認,municipioの報告目録は確認。項目別表・下位粒度は追加確認,,HND_Q,https://celade.cepal.org/censosinfo/Boletas/HD_Bdef_2013.pdf
HND,ホンジュラス,2013,デジタル接続,世帯のInternetサービス、PC・電話,調査票確認,municipioの報告目録は確認。項目別表・下位粒度は追加確認,,HND_Q,https://celade.cepal.org/censosinfo/Boletas/HD_Bdef_2013.pdf
HND,ホンジュラス,2013,教育,識字、就学、学歴3歳以上,調査票確認,municipioの報告目録は確認。項目別表・下位粒度は追加確認,,HND_Q,https://celade.cepal.org/censosinfo/Boletas/HD_Bdef_2013.pdf
HND,ホンジュラス,2013,就業・生計,未確認：この台帳では就業の設問・表を未点検,未確認,当該項目の公表粒度未確認,,HND_Q,https://celade.cepal.org/censosinfo/Boletas/HD_Bdef_2013.pdf
HND,ホンジュラス,2013,包摂・健康の一部,恒常的な障害、民族、出生登録,調査票確認,municipioの報告目録は確認。項目別表・下位粒度は追加確認,,HND_Q,https://celade.cepal.org/censosinfo/Boletas/HD_Bdef_2013.pdf
HND,ホンジュラス,2013,移住,出生地、入国年、世帯員の国外移住,調査票確認,municipioの報告目録は確認。項目別表・下位粒度は追加確認,,HND_Q,https://celade.cepal.org/censosinfo/Boletas/HD_Bdef_2013.pdf
MEX,メキシコ,2020,人口・世帯,性・年齢、世帯、出生・死亡,公表目録確認,municipio。AGEB／manzanaは選定指標のみ,,MEX_C,https://inegi.org.mx/rnm/index.php/catalog/632
MEX,メキシコ,2020,住宅,材料、室数、設備、保有,公表目録確認,municipio。AGEB／manzanaは選定指標のみ,,MEX_C,https://inegi.org.mx/rnm/index.php/catalog/632
MEX,メキシコ,2020,水,水道・給水,公表目録確認,municipio。AGEB／manzanaは選定指標のみ,,MEX_C,https://inegi.org.mx/rnm/index.php/catalog/632
MEX,メキシコ,2020,衛生,便所・排水,公表目録確認,municipio。AGEB／manzanaは選定指標のみ,,MEX_C,https://inegi.org.mx/rnm/index.php/catalog/632
MEX,メキシコ,2020,家庭エネルギー,電気,公表目録確認,municipio。AGEB／manzanaは選定指標のみ,,MEX_C,https://inegi.org.mx/rnm/index.php/catalog/632
MEX,メキシコ,2020,デジタル接続,住宅ネット・ICT設備,公表目録確認,municipio。AGEB／manzanaは選定指標のみ,,MEX_C,https://inegi.org.mx/rnm/index.php/catalog/632
