03-birthplace-age-sex.xlsx,https://geostat.ge/media/80612/3.-Population-of-Georgia-by-place-of-birth%2C-5-year-age-groups-and-sex.xlsx,a91e975fd60ee5d36d3edf26ce7f1a7e86968ede2d4250ad74da8e385659c5d8,1,C,"Among them, at age: / 0-4",51,not_adopted_this_pass,Birthplace-by-age matrix is a different dimension; current-residence local counts and age interpretation not adopted.
03-birthplace-age-sex.xlsx,https://geostat.ge/media/80612/3.-Population-of-Georgia-by-place-of-birth%2C-5-year-age-groups-and-sex.xlsx,a91e975fd60ee5d36d3edf26ce7f1a7e86968ede2d4250ad74da8e385659c5d8,1,D,5-9,51,not_adopted_this_pass,Birthplace-by-age matrix is a different dimension; current-residence local counts and age interpretation not adopted.
03-birthplace-age-sex.xlsx,https://geostat.ge/media/80612/3.-Population-of-Georgia-by-place-of-birth%2C-5-year-age-groups-and-sex.xlsx,a91e975fd60ee5d36d3edf26ce7f1a7e86968ede2d4250ad74da8e385659c5d8,1,E,10-14,51,not_adopted_this_pass,Birthplace-by-age matrix is a different dimension; current-residence local counts and age interpretation not adopted.
03-birthplace-age-sex.xlsx,https://geostat.ge/media/80612/3.-Population-of-Georgia-by-place-of-birth%2C-5-year-age-groups-and-sex.xlsx,a91e975fd60ee5d36d3edf26ce7f1a7e86968ede2d4250ad74da8e385659c5d8,1,F,15-19,51,not_adopted_this_pass,Birthplace-by-age matrix is a different dimension; current-residence local counts and age interpretation not adopted.
03-birthplace-age-sex.xlsx,https://geostat.ge/media/80612/3.-Population-of-Georgia-by-place-of-birth%2C-5-year-age-groups-and-sex.xlsx,a91e975fd60ee5d36d3edf26ce7f1a7e86968ede2d4250ad74da8e385659c5d8,1,G,20-24,51,not_adopted_this_pass,Birthplace-by-age matrix is a different dimension; current-residence local counts and age interpretation not adopted.
03-birthplace-age-sex.xlsx,https://geostat.ge/media/80612/3.-Population-of-Georgia-by-place-of-birth%2C-5-year-age-groups-and-sex.xlsx,a91e975fd60ee5d36d3edf26ce7f1a7e86968ede2d4250ad74da8e385659c5d8,1,H,25-29,51,not_adopted_this_pass,Birthplace-by-age matrix is a different dimension; current-residence local counts and age interpretation not adopted.
03-birthplace-age-sex.xlsx,https://geostat.ge/media/80612/3.-Population-of-Georgia-by-place-of-birth%2C-5-year-age-groups-and-sex.xlsx,a91e975fd60ee5d36d3edf26ce7f1a7e86968ede2d4250ad74da8e385659c5d8,1,I,30-34,51,not_adopted_this_pass,Birthplace-by-age matrix is a different dimension; current-residence local counts and age interpretation not adopted.
03-birthplace-age-sex.xlsx,https://geostat.ge/media/80612/3.-Population-of-Georgia-by-place-of-birth%2C-5-year-age-groups-and-sex.xlsx,a91e975fd60ee5d36d3edf26ce7f1a7e86968ede2d4250ad74da8e385659c5d8,1,J,35-39,51,not_adopted_this_pass,Birthplace-by-age matrix is a different dimension; current-residence local counts and age interpretation not adopted.
03-birthplace-age-sex.xlsx,https://geostat.ge/media/80612/3.-Population-of-Georgia-by-place-of-birth%2C-5-year-age-groups-and-sex.xlsx,a91e975fd60ee5d36d3edf26ce7f1a7e86968ede2d4250ad74da8e385659c5d8,1,K,40-44 ,51,not_adopted_this_pass,Birthplace-by-age matrix is a different dimension; current-residence local counts and age interpretation not adopted.
03-birthplace-age-sex.xlsx,https://geostat.ge/media/80612/3.-Population-of-Georgia-by-place-of-birth%2C-5-year-age-groups-and-sex.xlsx,a91e975fd60ee5d36d3edf26ce7f1a7e86968ede2d4250ad74da8e385659c5d8,1,L,45-49  ,51,not_adopted_this_pass,Birthplace-by-age matrix is a different dimension; current-residence local counts and age interpretation not adopted.
03-birthplace-age-sex.xlsx,https://geostat.ge/media/80612/3.-Population-of-Georgia-by-place-of-birth%2C-5-year-age-groups-and-sex.xlsx,a91e975fd60ee5d36d3edf26ce7f1a7e86968ede2d4250ad74da8e385659c5d8,1,M,50-54  ,51,not_adopted_this_pass,Birthplace-by-age matrix is a different dimension; current-residence local counts and age interpretation not adopted.
03-birthplace-age-sex.xlsx,https://geostat.ge/media/80612/3.-Population-of-Georgia-by-place-of-birth%2C-5-year-age-groups-and-sex.xlsx,a91e975fd60ee5d36d3edf26ce7f1a7e86968ede2d4250ad74da8e385659c5d8,1,N,55-59  ,51,not_adopted_this_pass,Birthplace-by-age matrix is a different dimension; current-residence local counts and age interpretation not adopted.
03-birthplace-age-sex.xlsx,https://geostat.ge/media/80612/3.-Population-of-Georgia-by-place-of-birth%2C-5-year-age-groups-and-sex.xlsx,a91e975fd60ee5d36d3edf26ce7f1a7e86968ede2d4250ad74da8e385659c5d8,1,O,60-64  ,51,not_adopted_this_pass,Birthplace-by-age matrix is a different dimension; current-residence local counts and age interpretation not adopted.
03-birthplace-age-sex.xlsx,https://geostat.ge/media/80612/3.-Population-of-Georgia-by-place-of-birth%2C-5-year-age-groups-and-sex.xlsx,a91e975fd60ee5d36d3edf26ce7f1a7e86968ede2d4250ad74da8e385659c5d8,1,P,65-69  ,51,not_adopted_this_pass,Birthplace-by-age matrix is a different dimension; current-residence local counts and age interpretation not adopted.
03-birthplace-age-sex.xlsx,https://geostat.ge/media/80612/3.-Population-of-Georgia-by-place-of-birth%2C-5-year-age-groups-and-sex.xlsx,a91e975fd60ee5d36d3edf26ce7f1a7e86968ede2d4250ad74da8e385659c5d8,1,Q,70-74  ,51,not_adopted_this_pass,Birthplace-by-age matrix is a different dimension; current-residence local counts and age interpretation not adopted.
03-birthplace-age-sex.xlsx,https://geostat.ge/media/80612/3.-Population-of-Georgia-by-place-of-birth%2C-5-year-age-groups-and-sex.xlsx,a91e975fd60ee5d36d3edf26ce7f1a7e86968ede2d4250ad74da8e385659c5d8,1,R,75-79  ,51,not_adopted_this_pass,Birthplace-by-age matrix is a different dimension; current-residence local counts and age interpretation not adopted.
03-birthplace-age-sex.xlsx,https://geostat.ge/media/80612/3.-Population-of-Georgia-by-place-of-birth%2C-5-year-age-groups-and-sex.xlsx,a91e975fd60ee5d36d3edf26ce7f1a7e86968ede2d4250ad74da8e385659c5d8,1,S,80-84,51,not_adopted_this_pass,Birthplace-by-age matrix is a different dimension; current-residence local counts and age interpretation not adopted.
03-birthplace-age-sex.xlsx,https://geostat.ge/media/80612/3.-Population-of-Georgia-by-place-of-birth%2C-5-year-age-groups-and-sex.xlsx,a91e975fd60ee5d36d3edf26ce7f1a7e86968ede2d4250ad74da8e385659c5d8,1,T,85+,51,not_adopted_this_pass,Birthplace-by-age matrix is a different dimension; current-residence local counts and age interpretation not adopted.
04-internal-migration.xlsx,https://geostat.ge/media/80613/4.-Internal-migrants-by-usual-place-of-residence-and.xlsx,db139407771f5b9568392468ee752a0909bb80d06ec64a40f0e598d71afdd351,1,B,All persons who have changed their usual place of residence within Georgia,12,not_adopted_this_pass,Previous-residence origin columns are not current area populations; migration matrix remains unadopted.
04-internal-migration.xlsx,https://geostat.ge/media/80613/4.-Internal-migrants-by-usual-place-of-residence-and.xlsx,db139407771f5b9568392468ee752a0909bb80d06ec64a40f0e598d71afdd351,1,C,Previous place of residence: / C. Tbilisi,12,not_adopted_this_pass,Previous-residence origin columns are not current area populations; migration matrix remains unadopted.
04-internal-migration.xlsx,https://geostat.ge/media/80613/4.-Internal-migrants-by-usual-place-of-residence-and.xlsx,db139407771f5b9568392468ee752a0909bb80d06ec64a40f0e598d71afdd351,1,D,Abkhazia A.R ,12,not_adopted_this_pass,Previous-residence origin columns are not current area populations; migration matrix remains unadopted.
04-internal-migration.xlsx,https://geostat.ge/media/80613/4.-Internal-migrants-by-usual-place-of-residence-and.xlsx,db139407771f5b9568392468ee752a0909bb80d06ec64a40f0e598d71afdd351,1,E,Adjara A.R.,12,not_adopted_this_pass,Previous-residence origin columns are not current area populations; migration matrix remains unadopted.
04-internal-migration.xlsx,https://geostat.ge/media/80613/4.-Internal-migrants-by-usual-place-of-residence-and.xlsx,db139407771f5b9568392468ee752a0909bb80d06ec64a40f0e598d71afdd351,1,F,Guria,12,not_adopted_this_pass,Previous-residence origin columns are not current area populations; migration matrix remains unadopted.
04-internal-migration.xlsx,https://geostat.ge/media/80613/4.-Internal-migrants-by-usual-place-of-residence-and.xlsx,db139407771f5b9568392468ee752a0909bb80d06ec64a40f0e598d71afdd351,1,G,Imereti,12,not_adopted_this_pass,Previous-residence origin columns are not current area populations; migration matrix remains unadopted.
04-internal-migration.xlsx,https://geostat.ge/media/80613/4.-Internal-migrants-by-usual-place-of-residence-and.xlsx,db139407771f5b9568392468ee752a0909bb80d06ec64a40f0e598d71afdd351,1,H,Kakheti,12,not_adopted_this_pass,Previous-residence origin columns are not current area populations; migration matrix remains unadopted.
04-internal-migration.xlsx,https://geostat.ge/media/80613/4.-Internal-migrants-by-usual-place-of-residence-and.xlsx,db139407771f5b9568392468ee752a0909bb80d06ec64a40f0e598d71afdd351,1,I,Mtskheta-Mtianeti,12,not_adopted_this_pass,Previous-residence origin columns are not current area populations; migration matrix remains unadopted.
04-internal-migration.xlsx,https://geostat.ge/media/80613/4.-Internal-migrants-by-usual-place-of-residence-and.xlsx,db139407771f5b9568392468ee752a0909bb80d06ec64a40f0e598d71afdd351,1,J,Racha-Lechkhumi and Kvemo Svaneti,12,not_adopted_this_pass,Previous-residence origin columns are not current area populations; migration matrix remains unadopted.
04-internal-migration.xlsx,https://geostat.ge/media/80613/4.-Internal-migrants-by-usual-place-of-residence-and.xlsx,db139407771f5b9568392468ee752a0909bb80d06ec64a40f0e598d71afdd351,1,K,Samegrelo-Zemo Svaneti,12,not_adopted_this_pass,Previous-residence origin columns are not current area populations; migration matrix remains unadopted.
04-internal-migration.xlsx,https://geostat.ge/media/80613/4.-Internal-migrants-by-usual-place-of-residence-and.xlsx,db139407771f5b9568392468ee752a0909bb80d06ec64a40f0e598d71afdd351,1,L,Samtskhe-Javakheti,12,not_adopted_this_pass,Previous-residence origin columns are not current area populations; migration matrix remains unadopted.
04-internal-migration.xlsx,https://geostat.ge/media/80613/4.-Internal-migrants-by-usual-place-of-residence-and.xlsx,db139407771f5b9568392468ee752a0909bb80d06ec64a40f0e598d71afdd351,1,M,Kvemo Kartli,12,not_adopted_this_pass,Previous-residence origin columns are not current area populations; migration matrix remains unadopted.
04-internal-migration.xlsx,https://geostat.ge/media/80613/4.-Internal-migrants-by-usual-place-of-residence-and.xlsx,db139407771f5b9568392468ee752a0909bb80d06ec64a40f0e598d71afdd351,1,N,Shida Kartli,12,not_adopted_this_pass,Previous-residence origin columns are not current area populations; migration matrix remains unadopted.
04-internal-migration.xlsx,https://geostat.ge/media/80613/4.-Internal-migrants-by-usual-place-of-residence-and.xlsx,db139407771f5b9568392468ee752a0909bb80d06ec64a40f0e598d71afdd351,1,O,Tskhinvali region ,12,not_adopted_this_pass,Previous-residence origin columns are not current area populations; migration matrix remains unadopted.
05-idp-age-settlement-sex.xlsx,https://geostat.ge/media/80615/5.-Number-of-IDPs-in-Georgia-by-5-year-age-groups%2C-urban-rural-settlements-and-sex.xlsx,91033bd00e1edc25b7932b925fb45a7f2ce19cb3d411ab7aca98e8c0cb153a4a,1,B,Total / Both Sexes,19,not_adopted_this_pass,National IDP age and settlement fields lack the adopted local geography; retained for later semantic review.
05-idp-age-settlement-sex.xlsx,https://geostat.ge/media/80615/5.-Number-of-IDPs-in-Georgia-by-5-year-age-groups%2C-urban-rural-settlements-and-sex.xlsx,91033bd00e1edc25b7932b925fb45a7f2ce19cb3d411ab7aca98e8c0cb153a4a,1,C,Males,19,not_adopted_this_pass,National IDP age and settlement fields lack the adopted local geography; retained for later semantic review.
05-idp-age-settlement-sex.xlsx,https://geostat.ge/media/80615/5.-Number-of-IDPs-in-Georgia-by-5-year-age-groups%2C-urban-rural-settlements-and-sex.xlsx,91033bd00e1edc25b7932b925fb45a7f2ce19cb3d411ab7aca98e8c0cb153a4a,1,D,Females,19,not_adopted_this_pass,National IDP age and settlement fields lack the adopted local geography; retained for later semantic review.
05-idp-age-settlement-sex.xlsx,https://geostat.ge/media/80615/5.-Number-of-IDPs-in-Georgia-by-5-year-age-groups%2C-urban-rural-settlements-and-sex.xlsx,91033bd00e1edc25b7932b925fb45a7f2ce19cb3d411ab7aca98e8c0cb153a4a,1,E,Urban / Both Sexes,19,not_adopted_this_pass,National IDP age and settlement fields lack the adopted local geography; retained for later semantic review.
05-idp-age-settlement-sex.xlsx,https://geostat.ge/media/80615/5.-Number-of-IDPs-in-Georgia-by-5-year-age-groups%2C-urban-rural-settlements-and-sex.xlsx,91033bd00e1edc25b7932b925fb45a7f2ce19cb3d411ab7aca98e8c0cb153a4a,1,F,Males,19,not_adopted_this_pass,National IDP age and settlement fields lack the adopted local geography; retained for later semantic review.
05-idp-age-settlement-sex.xlsx,https://geostat.ge/media/80615/5.-Number-of-IDPs-in-Georgia-by-5-year-age-groups%2C-urban-rural-settlements-and-sex.xlsx,91033bd00e1edc25b7932b925fb45a7f2ce19cb3d411ab7aca98e8c0cb153a4a,1,G,Females,19,not_adopted_this_pass,National IDP age and settlement fields lack the adopted local geography; retained for later semantic review.
05-idp-age-settlement-sex.xlsx,https://geostat.ge/media/80615/5.-Number-of-IDPs-in-Georgia-by-5-year-age-groups%2C-urban-rural-settlements-and-sex.xlsx,91033bd00e1edc25b7932b925fb45a7f2ce19cb3d411ab7aca98e8c0cb153a4a,1,H,Rural / Both Sexes,19,not_adopted_this_pass,National IDP age and settlement fields lack the adopted local geography; retained for later semantic review.
05-idp-age-settlement-sex.xlsx,https://geostat.ge/media/80615/5.-Number-of-IDPs-in-Georgia-by-5-year-age-groups%2C-urban-rural-settlements-and-sex.xlsx,91033bd00e1edc25b7932b925fb45a7f2ce19cb3d411ab7aca98e8c0cb153a4a,1,I,Males,19,not_adopted_this_pass,National IDP age and settlement fields lack the adopted local geography; retained for later semantic review.
05-idp-age-settlement-sex.xlsx,https://geostat.ge/media/80615/5.-Number-of-IDPs-in-Georgia-by-5-year-age-groups%2C-urban-rural-settlements-and-sex.xlsx,91033bd00e1edc25b7932b925fb45a7f2ce19cb3d411ab7aca98e8c0cb153a4a,1,J,Females,19,not_adopted_this_pass,National IDP age and settlement fields lack the adopted local geography; retained for later semantic review.
06-idp-residence-origin-sex.xlsx,https://geostat.ge/media/80616/6.-IDPs-by-usual-place-of-residence%2C-place-of-residence-before-acquiring-IDP-status%2C-sex.xlsx,a4d2483aa428f43b6e87f152e130216cd8b27bf2e41859b0a7961c8bf876b711,1,B,Both Sexes / Total number of internally displaced persons,75,adopted_direct_with_source_missing,Direct IDP current-residence counts and previous-residence attributes adopted for 75 printed reporting rows; none for Tbilisi districts.
06-idp-residence-origin-sex.xlsx,https://geostat.ge/media/80616/6.-IDPs-by-usual-place-of-residence%2C-place-of-residence-before-acquiring-IDP-status%2C-sex.xlsx,a4d2483aa428f43b6e87f152e130216cd8b27bf2e41859b0a7961c8bf876b711,1,C,place of residence before acquiring the IDP status: / Abkhazia A.R ,75,adopted_direct_with_source_missing,Direct IDP current-residence counts and previous-residence attributes adopted for 75 printed reporting rows; none for Tbilisi districts.
06-idp-residence-origin-sex.xlsx,https://geostat.ge/media/80616/6.-IDPs-by-usual-place-of-residence%2C-place-of-residence-before-acquiring-IDP-status%2C-sex.xlsx,a4d2483aa428f43b6e87f152e130216cd8b27bf2e41859b0a7961c8bf876b711,1,D,Tskhinvali region ,75,adopted_direct_with_source_missing,Direct IDP current-residence counts and previous-residence attributes adopted for 75 printed reporting rows; none for Tbilisi districts.
06-idp-residence-origin-sex.xlsx,https://geostat.ge/media/80616/6.-IDPs-by-usual-place-of-residence%2C-place-of-residence-before-acquiring-IDP-status%2C-sex.xlsx,a4d2483aa428f43b6e87f152e130216cd8b27bf2e41859b0a7961c8bf876b711,1,E,Males / Total number of internally displaced persons,75,adopted_direct_with_source_missing,Direct IDP current-residence counts and previous-residence attributes adopted for 75 printed reporting rows; none for Tbilisi districts.
06-idp-residence-origin-sex.xlsx,https://geostat.ge/media/80616/6.-IDPs-by-usual-place-of-residence%2C-place-of-residence-before-acquiring-IDP-status%2C-sex.xlsx,a4d2483aa428f43b6e87f152e130216cd8b27bf2e41859b0a7961c8bf876b711,1,F,place of residence before acquiring the IDP status: / Abkhazia A.R ,75,adopted_direct_with_source_missing,Direct IDP current-residence counts and previous-residence attributes adopted for 75 printed reporting rows; none for Tbilisi districts.
06-idp-residence-origin-sex.xlsx,https://geostat.ge/media/80616/6.-IDPs-by-usual-place-of-residence%2C-place-of-residence-before-acquiring-IDP-status%2C-sex.xlsx,a4d2483aa428f43b6e87f152e130216cd8b27bf2e41859b0a7961c8bf876b711,1,G,Tskhinvali region ,75,adopted_direct_with_source_missing,Direct IDP current-residence counts and previous-residence attributes adopted for 75 printed reporting rows; none for Tbilisi districts.
06-idp-residence-origin-sex.xlsx,https://geostat.ge/media/80616/6.-IDPs-by-usual-place-of-residence%2C-place-of-residence-before-acquiring-IDP-status%2C-sex.xlsx,a4d2483aa428f43b6e87f152e130216cd8b27bf2e41859b0a7961c8bf876b711,1,H,Females / Total number of internally displaced persons,75,adopted_direct_with_source_missing,Direct IDP current-residence counts and previous-residence attributes adopted for 75 printed reporting rows; none for Tbilisi districts.
06-idp-residence-origin-sex.xlsx,https://geostat.ge/media/80616/6.-IDPs-by-usual-place-of-residence%2C-place-of-residence-before-acquiring-IDP-status%2C-sex.xlsx,a4d2483aa428f43b6e87f152e130216cd8b27bf2e41859b0a7961c8bf876b711,1,I,place of residence before acquiring the IDP status: / Abkhazia A.R ,75,adopted_direct_with_source_missing,Direct IDP current-residence counts and previous-residence attributes adopted for 75 printed reporting rows; none for Tbilisi districts.
06-idp-residence-origin-sex.xlsx,https://geostat.ge/media/80616/6.-IDPs-by-usual-place-of-residence%2C-place-of-residence-before-acquiring-IDP-status%2C-sex.xlsx,a4d2483aa428f43b6e87f152e130216cd8b27bf2e41859b0a7961c8bf876b711,1,J,Tskhinvali region ,75,adopted_direct_with_source_missing,Direct IDP current-residence counts and previous-residence attributes adopted for 75 printed reporting rows; none for Tbilisi districts.
