file,sheet,column,header_rows_1_to_8,numeric_cells,first_numeric_row,first_numeric_value,last_numeric_row,last_numeric_value,disposition
2020-2026-population-age-by-area.xls,01.01.2020 (Total population),J,r5:30-34 | r7:927905,100,7,927905,135,12397,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (Total population),K,r5:35-39 | r7:793239,100,7,793239,135,10269,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (Total population),L,r5:40-44 | r7:665878,100,7,665878,135,8705,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (Total population),M,r5:45-49 | r7:579198,100,7,579198,135,7526,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (Total population),N,r5:50-54 | r7:618204,100,7,618204,135,8424,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (Total population),O,r5:55-59 | r7:618210,100,7,618210,135,8538,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (Total population),P,r5:60-64 | r7:514924,100,7,514924,135,7312,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (Total population),Q,r5:65-69 | r7:316084,100,7,316084,135,4291,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (Total population),R,r5:70-74 | r7:177278,100,7,177278,135,2117,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (Total population),S,r5:75-79 | r7:78713,100,7,78713,135,835,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (Total population),T,r5:80-84 | r7:96354,100,7,96354,135,1226,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (Total population),U,r5:85-89 | r7:37975,100,7,37975,135,533,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (Total population),V,r5:90+ | r7:15790,100,7,15790,135,236,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (men),C,r5:Population size - total | r8:4960642,100,8,4960642,136,67510,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (men),D,r5:i n c l u d i n g b y a g e g r o u p s | r6:0-4 | r8:365044,100,8,365044,136,5589,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (men),E,r6:5-9 | r8:440207,100,8,440207,136,6228,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (men),F,r6:10-14 | r8:426667,100,8,426667,136,5767,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (men),G,r6:15-19 | r8:347253,100,8,347253,136,4478,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (men),H,r6:20-24 | r8:348753,100,8,348753,136,4831,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (men),I,r6:25-29 | r8:426226,100,8,426226,136,6055,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (men),J,r6:30-34 | r8:453804,100,8,453804,136,6124,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (men),K,r6:35-39 | r8:393991,100,8,393991,136,5056,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (men),L,r6:40-44 | r8:334048,100,8,334048,136,4416,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (men),M,r6:45-49 | r8:283308,100,8,283308,136,3660,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (men),N,r6:50-54 | r8:294823,100,8,294823,136,4039,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (men),O,r6:55-59 | r8:291288,100,8,291288,136,4107,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (men),P,r6:60-64 | r8:239244,100,8,239244,136,3365,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (men),Q,r6:65-69 | r8:144239,100,8,144239,136,1900,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (men),R,r6:70-74 | r8:79005,100,8,79005,136,902,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (men),S,r6:75-79 | r8:33332,100,8,33332,136,296,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (men),T,r6:80-84 | r8:38724,100,8,38724,136,430,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (men),U,r6:85-89 | r8:15104,100,8,15104,136,200,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (men),V,r6:90+ | r8:5582,100,8,5582,136,67,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (women),C,r5:Population size - total | r8:5013409,100,8,5013409,136,68301,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (women),D,r5:i n c l u d i n g b y a g e g r o u p s | r6:0-4 | r8:322079,100,8,322079,136,4734,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (women),E,r6:5-9 | r8:385291,100,8,385291,136,5420,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (women),F,r6:10-14 | r8:372007,100,8,372007,136,5115,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (women),G,r6:15-19 | r8:304010,100,8,304010,136,4016,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (women),H,r6:20-24 | r8:343235,100,8,343235,136,4730,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (women),I,r6:25-29 | r8:453527,100,8,453527,136,6439,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (women),J,r6:30-34 | r8:474101,100,8,474101,136,6273,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (women),K,r6:35-39 | r8:399248,100,8,399248,136,5213,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (women),L,r6:40-44 | r8:331830,100,8,331830,136,4289,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (women),M,r6:45-49 | r8:295890,100,8,295890,136,3866,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (women),N,r6:50-54 | r8:323381,100,8,323381,136,4385,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (women),O,r6:55-59 | r8:326922,100,8,326922,136,4431,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (women),P,r6:60-64 | r8:275680,100,8,275680,136,3947,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (women),Q,r6:65-69 | r8:171845,100,8,171845,136,2391,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (women),R,r6:70-74 | r8:98273,100,8,98273,136,1215,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (women),S,r6:75-79 | r8:45381,100,8,45381,136,539,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (women),T,r6:80-84 | r8:57630,100,8,57630,136,796,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (women),U,r6:85-89 | r8:22871,100,8,22871,136,333,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (women),V,r6:90+ | r8:10208,100,8,10208,136,169,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (urban areas),C,r5:Population size - total | r8:5476823,100,8,5476823,136,44095,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (urban areas),D,r5:i n c l u d i n g b y a g e g r o u p s | r6:0-4 | r8:351530,100,8,351530,136,3252,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (urban areas),E,r6:5-9 | r8:438113,100,8,438113,136,3740,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (urban areas),F,r6:10-14 | r8:430849,100,8,430849,136,3376,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (urban areas),G,r6:15-19 | r8:343886,100,8,343886,136,2746,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (urban areas),H,r6:20-24 | r8:357743,100,8,357743,136,2966,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (urban areas),I,r6:25-29 | r8:464489,100,8,464489,136,3879,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (urban areas),J,r6:30-34 | r8:523487,100,8,523487,136,3937,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (urban areas),K,r6:35-39 | r8:456034,100,8,456034,136,3237,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (urban areas),L,r6:40-44 | r8:381628,100,8,381628,136,2863,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (urban areas),M,r6:45-49 | r8:316068,100,8,316068,136,2520,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (urban areas),N,r6:50-54 | r8:330953,100,8,330953,136,2638,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (urban areas),O,r6:55-59 | r8:344258,100,8,344258,136,2803,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (urban areas),P,r6:60-64 | r8:301201,100,8,301201,136,2643,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (urban areas),Q,r6:65-69 | r8:198810,100,8,198810,136,1609,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (urban areas),R,r6:70-74 | r8:114124,100,8,114124,136,934,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (urban areas),S,r6:75-79 | r8:48125,100,8,48125,136,298,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (urban areas),T,r6:80-84 | r8:50241,100,8,50241,136,411,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (urban areas),U,r6:85-89 | r8:18075,100,8,18075,136,178,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (urban areas),V,r6:90+ | r8:7209,100,8,7209,136,65,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (rural areas),C,r5:Population size - total | r8:4497228,82,8,4497228,136,91716,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (rural areas),D,r5:i n c l u d i n g b y a g e g r o u p s | r6:0-4 | r8:335593,82,8,335593,136,7071,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (rural areas),E,r6:5-9 | r8:387385,82,8,387385,136,7908,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (rural areas),F,r6:10-14 | r8:367825,82,8,367825,136,7506,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (rural areas),G,r6:15-19 | r8:307377,82,8,307377,136,5748,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (rural areas),H,r6:20-24 | r8:334245,82,8,334245,136,6595,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (rural areas),I,r6:25-29 | r8:415264,82,8,415264,136,8615,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (rural areas),J,r6:30-34 | r8:404418,82,8,404418,136,8460,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (rural areas),K,r6:35-39 | r8:337205,82,8,337205,136,7032,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (rural areas),L,r6:40-44 | r8:284250,82,8,284250,136,5842,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (rural areas),M,r6:45-49 | r8:263130,82,8,263130,136,5006,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (rural areas),N,r6:50-54 | r8:287251,82,8,287251,136,5786,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (rural areas),O,r6:55-59 | r8:273952,82,8,273952,136,5735,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (rural areas),P,r6:60-64 | r8:213723,82,8,213723,136,4669,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (rural areas),Q,r6:65-69 | r8:117274,82,8,117274,136,2682,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (rural areas),R,r6:70-74 | r8:63154,82,8,63154,136,1183,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (rural areas),S,r6:75-79 | r8:30588,82,8,30588,136,537,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (rural areas),T,r6:80-84 | r8:46113,82,8,46113,136,815,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (rural areas),U,r6:85-89 | r8:19900,82,8,19900,136,355,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (rural areas),V,r6:90+ | r8:8581,82,8,8581,136,171,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (Total population),C,r7:Population size - total,100,10,10026076,138,136661,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (Total population),D,r7:i n c l u d i n g b y a g e g r o u p s | r8:0-4,100,10,662998,138,10101,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (Total population),E,r8:5-9,100,10,809905,138,11629,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (Total population),F,r8:10-14,100,10,818103,138,11053,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (Total population),G,r8:15-19,100,10,673677,138,8867,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (Total population),H,r8:20-24,100,10,661068,138,8885,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (Total population),I,r8:25-29,100,10,844919,138,12222,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (Total population),J,r8:30-34,100,10,936321,138,12452,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (Total population),K,r8:35-39,100,10,819698,138,10880,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (Total population),L,r8:40-44,100,10,690078,138,8909,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (Total population),M,r8:45-49,100,10,582627,138,7573,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (Total population),N,r8:50-54,100,10,611093,138,8201,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (Total population),O,r8:55-59,100,10,612905,138,8410,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (Total population),P,r8:60-64,100,10,540043,138,7640,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (Total population),Q,r8:65-69,100,10,342058,138,4764,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (Total population),R,r8:70-74,100,10,199697,138,2386,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (Total population),S,r8:75-79,100,10,74062,138,804,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (Total population),T,r8:80-84,100,10,89963,138,1053,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (Total population),U,r8:85-89,100,10,41180,138,594,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (Total population),V,r8:90+,100,10,15681,138,238,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (men),C,r7:Population size - total,100,10,4986481,138,67947,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (men),D,r7:i n c l u d i n g b y a g e g r o u p s | r8:0-4,100,10,352375,138,5485,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (men),E,r8:5-9,100,10,431054,138,6211,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (men),F,r8:10-14,100,10,437152,138,5889,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (men),G,r8:15-19,100,10,360656,138,4690,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (men),H,r8:20-24,100,10,336828,138,4537,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (men),I,r8:25-29,100,10,409573,138,5922,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (men),J,r8:30-34,100,10,456586,138,6108,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (men),K,r8:35-39,100,10,405033,138,5363,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (men),L,r8:40-44,100,10,346553,138,4449,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (men),M,r8:45-49,100,10,285716,138,3721,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (men),N,r8:50-54,100,10,292586,138,3959,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (men),O,r8:55-59,100,10,287554,138,4025,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (men),P,r8:60-64,100,10,252030,138,3521,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (men),Q,r8:65-69,100,10,154166,138,2106,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (men),R,r8:70-74,100,10,89244,138,1034,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (men),S,r8:75-79,100,10,31240,138,281,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (men),T,r8:80-84,100,10,36294,138,372,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (men),U,r8:85-89,100,10,16041,138,207,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (men),V,r8:90+,100,10,5800,138,67,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (women),C,r7:Population size - total,100,10,5039595,138,68714,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (women),D,r7:i n c l u d i n g b y a g e g r o u p s | r8:0-4,100,10,310623,138,4616,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (women),E,r8:5-9,100,10,378851,138,5418,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (women),F,r8:10-14,100,10,380951,138,5164,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (women),G,r8:15-19,100,10,313021,138,4177,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (women),H,r8:20-24,100,10,324240,138,4348,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (women),I,r8:25-29,100,10,435346,138,6300,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (women),J,r8:30-34,100,10,479735,138,6344,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (women),K,r8:35-39,100,10,414665,138,5517,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (women),L,r8:40-44,100,10,343525,138,4460,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (women),M,r8:45-49,100,10,296911,138,3852,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (women),N,r8:50-54,100,10,318507,138,4242,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (women),O,r8:55-59,100,10,325351,138,4385,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (women),P,r8:60-64,100,10,288013,138,4119,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (women),Q,r8:65-69,100,10,187892,138,2658,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (women),R,r8:70-74,100,10,110453,138,1352,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (women),S,r8:75-79,100,10,42822,138,523,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (women),T,r8:80-84,100,10,53669,138,681,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (women),U,r8:85-89,100,10,25139,138,387,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2021 (women),V,r8:90+,100,10,9881,138,171,not_adopted_pending_row_and_geography_audit
